r0,c0,r1,c1,r2,c2,r3,c3,r4,c4,r5,c5,r6,c6,r7,c7,r8,c8,r9,c9,label
285.0,1.0,277.0,0.0,280.0,6.0,279.0,0.0,285.0,0.0,278.0,1.0,280.0,6.0,285.0,0.0,292.0,4.0,284.0,1.0,n
288.0,8.0,290.0,18.0,280.0,9.0,281.0,0.0,282.0,15.0,283.0,6.0,277.0,8.0,284.0,8.0,273.0,5.0,281.0,4.0,n
288.0,16.0,286.0,10.0,281.0,11.0,281.0,8.0,289.0,15.0,290.0,22.0,276.0,7.0,281.0,5.0,289.0,13.0,288.0,22.0,n
285.0,7.0,292.0,22.0,281.0,12.0,287.0,17.0,287.0,13.0,290.0,31.0,291.0,30.0,289.0,22.0,288.0,33.0,289.0,19.0,n
280.0,29.0,276.0,17.0,279.0,19.0,285.0,20.0,280.0,19.0,283.0,27.0,294.0,32.0,280.0,22.0,288.0,26.0,287.0,18.0,n
283.0,17.0,278.0,15.0,284.0,14.0,280.0,13.0,284.0,8.0,277.0,10.0,291.0,20.0,280.0,13.0,290.0,31.0,279.0,7.0,n
278.0,4.0,275.0,5.0,290.0,21.0,288.0,19.0,288.0,14.0,291.0,18.0,278.0,7.0,285.0,8.0,286.0,10.0,280.0,13.0,n
274.0,10.0,285.0,5.0,285.0,7.0,282.0,23.0,288.0,16.0,287.0,5.0,287.0,2.0,290.0,21.0,290.0,25.0,276.0,4.0,n
287.0,0.0,280.0,16.0,288.0,22.0,282.0,21.0,285.0,5.0,280.0,14.0,283.0,20.0,284.0,16.0,286.0,16.0,273.0,11.0,n
275.0,14.0,283.0,13.0,278.0,10.0,286.0,23.0,281.0,16.0,280.0,22.0,285.0,14.0,281.0,18.0,280.0,22.0,279.0,21.0,n
285.0,10.0,284.0,18.0,280.0,17.0,290.0,27.0,282.0,24.0,282.0,18.0,293.0,6.0,283.0,7.0,285.0,5.0,285.0,6.0,n
289.0,5.0,282.0,11.0,278.0,1.0,280.0,2.0,279.0,5.0,282.0,8.0,285.0,1.0,289.0,5.0,281.0,0.0,275.0,6.0,n
279.0,1.0,289.0,5.0,288.0,15.0,285.0,9.0,289.0,11.0,279.0,11.0,278.0,8.0,286.0,14.0,282.0,20.0,273.0,8.0,n
295.0,13.0,274.0,16.0,283.0,26.0,281.0,16.0,282.0,36.0,285.0,21.0,281.0,27.0,282.0,43.0,284.0,27.0,269.0,29.0,n
288.0,45.0,288.0,53.0,286.0,36.0,287.0,24.0,276.0,22.0,273.0,20.0,278.0,26.0,284.0,29.0,266.0,45.0,283.0,41.0,n
288.0,37.0,282.0,34.0,279.0,18.0,284.0,19.0,275.0,23.0,277.0,20.0,275.0,20.0,276.0,19.0,283.0,24.0,281.0,17.0,n
272.0,16.0,276.0,11.0,280.0,17.0,281.0,12.0,280.0,14.0,276.0,6.0,278.0,8.0,288.0,21.0,278.0,5.0,276.0,8.0,n
284.0,8.0,271.0,16.0,277.0,8.0,285.0,11.0,279.0,9.0,290.0,19.0,279.0,8.0,268.0,17.0,276.0,10.0,279.0,10.0,n
274.0,11.0,281.0,10.0,284.0,8.0,273.0,7.0,280.0,14.0,275.0,4.0,277.0,1.0,282.0,15.0,273.0,4.0,279.0,1.0,n
278.0,4.0,271.0,5.0,269.0,12.0,276.0,11.0,283.0,11.0,279.0,12.0,276.0,12.0,286.0,25.0,283.0,21.0,288.0,27.0,n
283.0,24.0,286.0,24.0,276.0,15.0,283.0,24.0,278.0,18.0,276.0,12.0,275.0,21.0,282.0,24.0,276.0,12.0,282.0,23.0,n
282.0,22.0,283.0,16.0,282.0,21.0,289.0,17.0,276.0,8.0,281.0,4.0,275.0,1.0,278.0,7.0,285.0,4.0,283.0,6.0,n
275.0,5.0,276.0,2.0,282.0,12.0,275.0,7.0,286.0,10.0,276.0,3.0,276.0,2.0,285.0,5.0,282.0,11.0,273.0,7.0,n
273.0,1.0,288.0,16.0,286.0,9.0,279.0,3.0,274.0,4.0,275.0,8.0,277.0,5.0,280.0,0.0,274.0,8.0,275.0,0.0,n
281.0,4.0,291.0,14.0,275.0,9.0,283.0,8.0,270.0,15.0,279.0,12.0,276.0,6.0,281.0,12.0,281.0,14.0,278.0,16.0,n
268.0,13.0,285.0,9.0,272.0,13.0,284.0,11.0,283.0,14.0,282.0,20.0,281.0,16.0,265.0,5.0,282.0,16.0,280.0,10.0,n
