0,1,2,3,4,5,6,7,8,9,label
41.0,49.0,36.0,83.0,14.0,82.0,14.0,44.0,48.0,42.0,false
41.0,31.0,40.0,8.0,87.0,0.0,98.0,0.0,49.0,55.0,false
55.0,49.0,61.0,13.0,82.0,14.0,82.0,52.0,47.0,55.0,false
55.0,49.0,70.0,32.0,62.0,34.0,62.0,34.0,48.0,55.0,false
55.0,48.0,26.0,4.0,91.0,5.0,98.0,51.0,49.0,41.0,false
41.0,31.0,79.0,21.0,74.0,22.0,74.0,22.0,48.0,42.0,false
41.0,64.0,56.0,88.0,0.0,98.0,0.0,98.0,49.0,41.0,false
41.0,64.0,56.0,51.0,44.0,54.0,44.0,55.0,49.0,42.0,false
41.0,48.0,36.0,83.0,14.0,82.0,14.0,40.0,48.0,42.0,false
41.0,48.0,26.0,64.0,34.0,62.0,34.0,61.0,48.0,42.0,false
41.0,48.0,36.0,24.0,78.0,20.0,78.0,47.0,49.0,42.0,false
41.0,64.0,56.0,88.0,9.0,87.0,9.0,42.0,49.0,55.0,false
55.0,49.0,70.0,32.0,62.0,35.0,62.0,34.0,48.0,55.0,false
55.0,65.0,16.0,75.0,22.0,74.0,22.0,50.0,48.0,55.0,false
55.0,48.0,61.0,13.0,82.0,14.0,82.0,38.0,48.0,55.0,false
55.0,31.0,79.0,94.0,0.0,98.0,0.0,96.0,49.0,41.0,false
41.0,49.0,62.0,13.0,82.0,14.0,82.0,14.0,48.0,55.0,false
55.0,31.0,40.0,47.0,54.0,44.0,54.0,44.0,49.0,55.0,false
55.0,31.0,40.0,47.0,54.0,44.0,55.0,44.0,49.0,55.0,false
55.0,48.0,26.0,4.0,91.0,0.0,98.0,27.0,49.0,42.0,false
41.0,65.0,79.0,94.0,0.0,98.0,0.0,77.0,49.0,42.0,false
41.0,48.0,25.0,64.0,34.0,62.0,35.0,57.0,48.0,42.0,false
41.0,31.0,40.0,47.0,54.0,44.0,54.0,44.0,49.0,55.0,false
55.0,49.0,62.0,13.0,82.0,14.0,82.0,26.0,48.0,55.0,false
55.0,49.0,70.0,32.0,62.0,35.0,62.0,35.0,48.0,55.0,false
55.0,65.0,57.0,51.0,44.0,55.0,44.0,55.0,49.0,42.0,false
41.0,31.0,40.0,8.0,87.0,9.0,87.0,21.0,48.0,55.0,false
55.0,49.0,70.0,32.0,62.0,35.0,62.0,37.0,48.0,55.0,false
55.0,49.0,70.0,32.0,62.0,35.0,62.0,34.0,48.0,55.0,false
55.0,49.0,70.0,91.0,5.0,91.0,0.0,86.0,49.0,55.0,false
55.0,64.0,16.0,75.0,22.0,74.0,22.0,70.0,48.0,55.0,false
55.0,49.0,70.0,32.0,62.0,35.0,62.0,51.0,48.0,55.0,false
55.0,49.0,36.0,83.0,14.0,82.0,14.0,81.0,49.0,42.0,false
41.0,49.0,70.0,32.0,62.0,34.0,62.0,34.0,48.0,55.0,false
55.0,31.0,79.0,21.0,74.0,22.0,74.0,24.0,47.0,42.0,false
41.0,65.0,16.0,75.0,22.0,74.0,22.0,41.0,48.0,55.0,false
55.0,64.0,56.0,88.0,9.0,87.0,0.0,90.0,52.0,50.0,false
52.0,75.0,91.0,109.0,0.0,126.0,0.0,133.0,69.0,65.0,false
66.0,90.0,114.0,142.0,0.0,155.0,0.0,150.0,73.0,69.0,false
68.0,51.0,66.0,16.0,127.0,23.0,151.0,0.0,69.0,76.0,false
75.0,48.0,26.0,5.0,122.0,0.0,135.0,0.0,68.0,77.0,false
77.0,74.0,93.0,113.0,21.0,119.0,21.0,120.0,72.0,80.0,false
80.0,77.0,46.0,79.0,70.0,72.0,72.0,72.0,72.0,68.0,false
68.0,90.0,29.0,99.0,48.0,94.0,49.0,94.0,73.0,81.0,false
81.0,77.0,95.0,118.0,21.0,133.0,21.0,75.0,76.0,83.0,false
81.0,90.0,73.0,119.0,16.0,115.0,0.0,48.0,64.0,59.0,false
59.0,61.0,39.0,75.0,57.0,70.0,58.0,64.0,66.0,62.0,false
62.0,64.0,47.0,28.0,123.0,21.0,124.0,21.0,73.0,71.0,false
73.0,72.0,100.0,30.0,115.0,34.0,112.0,71.0,69.0,77.0,false
74.0,82.0,21.0,89.0,33.0,86.0,28.0,57.0,55.0,61.0,false
61.0,52.0,29.0,68.0,40.0,64.0,38.0,54.0,51.0,43.0,false
43.0,49.0,27.0,65.0,36.0,62.0,35.0,61.0,48.0,41.0,false
