0,1,2,3,4,5,6,7,8,9,label
73.0,46.0,25.0,5.0,123.0,0.0,131.0,0.0,65.0,73.0,false
73.0,83.0,70.0,114.0,15.0,131.0,0.0,129.0,65.0,60.0,false
60.0,83.0,25.0,95.0,40.0,91.0,40.0,61.0,66.0,73.0,false
73.0,83.0,25.0,95.0,40.0,91.0,40.0,65.0,65.0,73.0,false
73.0,83.0,70.0,115.0,15.0,113.0,0.0,49.0,65.0,60.0,false
60.0,83.0,103.0,124.0,0.0,131.0,0.0,58.0,65.0,60.0,false
60.0,83.0,103.0,124.0,0.0,131.0,0.0,131.0,65.0,60.0,false
60.0,61.0,45.0,27.0,111.0,20.0,111.0,65.0,66.0,60.0,false
60.0,61.0,45.0,107.0,24.0,104.0,24.0,55.0,64.0,60.0,false
60.0,61.0,40.0,76.0,61.0,71.0,61.0,71.0,66.0,60.0,false
60.0,83.0,25.0,95.0,40.0,91.0,40.0,67.0,65.0,73.0,false
73.0,69.0,90.0,120.0,10.0,131.0,0.0,55.0,65.0,73.0,false
73.0,83.0,25.0,95.0,40.0,91.0,40.0,65.0,65.0,73.0,false
73.0,46.0,25.0,5.0,131.0,0.0,131.0,57.0,65.0,73.0,false
73.0,46.0,25.0,5.0,131.0,0.0,131.0,48.0,65.0,73.0,false
73.0,83.0,70.0,115.0,0.0,131.0,0.0,131.0,65.0,60.0,false
60.0,83.0,103.0,35.0,91.0,40.0,91.0,40.0,65.0,60.0,false
60.0,46.0,103.0,35.0,91.0,40.0,91.0,61.0,65.0,60.0,false
60.0,69.0,90.0,55.0,71.0,61.0,71.0,65.0,65.0,73.0,false
73.0,46.0,25.0,95.0,40.0,91.0,40.0,67.0,65.0,73.0,false
73.0,69.0,45.0,106.0,24.0,104.0,24.0,65.0,64.0,60.0,false
60.0,46.0,103.0,35.0,91.0,40.0,91.0,61.0,65.0,60.0,false
60.0,69.0,45.0,106.0,24.0,104.0,24.0,75.0,64.0,60.0,false
60.0,69.0,45.0,106.0,24.0,104.0,24.0,81.0,64.0,60.0,false
60.0,61.0,45.0,106.0,24.0,104.0,24.0,72.0,64.0,60.0,false
60.0,83.0,25.0,95.0,39.0,91.0,40.0,91.0,65.0,73.0,false
72.0,83.0,69.0,114.0,15.0,113.0,15.0,71.0,65.0,60.0,false
60.0,61.0,45.0,27.0,110.0,20.0,111.0,53.0,65.0,60.0,false
60.0,46.0,103.0,35.0,91.0,40.0,91.0,40.0,65.0,60.0,false
60.0,61.0,90.0,54.0,71.0,60.0,71.0,65.0,65.0,73.0,false
72.0,83.0,25.0,95.0,39.0,91.0,40.0,74.0,65.0,73.0,false
72.0,61.0,85.0,22.0,104.0,24.0,104.0,44.0,64.0,73.0,false
72.0,69.0,45.0,27.0,110.0,20.0,110.0,46.0,65.0,60.0,false
60.0,68.0,90.0,55.0,71.0,61.0,71.0,61.0,65.0,73.0,false
72.0,68.0,40.0,76.0,60.0,71.0,60.0,71.0,65.0,60.0,false
60.0,68.0,45.0,106.0,24.0,104.0,24.0,83.0,65.0,67.0,false
75.0,77.0,63.0,86.0,112.0,74.0,118.0,82.0,99.0,103.0,false
106.0,107.0,75.0,143.0,83.0,127.0,80.0,112.0,101.0,103.0,true
102.0,92.0,146.0,186.0,0.0,212.0,0.0,211.0,106.0,106.0,true
105.0,93.0,147.0,91.0,102.0,109.0,101.0,104.0,101.0,100.0,true
101.0,125.0,145.0,89.0,102.0,109.0,101.0,118.0,111.0,111.0,true
109.0,107.0,75.0,40.0,191.0,22.0,191.0,21.0,105.0,103.0,true
99.0,119.0,137.0,169.0,0.0,177.0,0.0,142.0,92.0,95.0,true
96.0,94.0,77.0,89.0,115.0,74.0,107.0,77.0,88.0,86.0,true
