0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,*50 microseconds,,,,,,,,,,
726,763,794,822,847,868,893,909,923,935,946,955,963,970,975,980,985,986,990,997,,,,,,,,,,,
723,763,794,822,849,870,889,906,918,932,945,950,960,967,972,978,984,991,996,1002,,,,,,,,,,,
722,762,792,820,849,869,889,907,922,936,948,958,966,974,980,984,988,991,993,997,,,,,,,,,,,
723,762,792,819,848,868,889,903,917,928,942,950,959,970,978,986,993,997,1001,1004,,,,,,,,,,,
723,763,794,824,850,872,890,908,920,934,947,953,962,970,975,981,983,985,991,998,,,,,,,,,,,
722,760,792,818,846,867,887,903,918,933,946,959,968,975,981,987,991,993,997,1000,,,,,,,,,,,
723,763,794,821,849,870,890,903,918,930,944,953,956,964,974,981,988,992,1001,1004,,,,,,,,,,,
722,762,795,821,852,870,891,909,921,936,948,956,965,972,978,982,985,990,994,993,,,,,,,,,,,
723,761,791,820,848,868,883,899,915,929,943,953,962,971,982,988,992,997,1000,1001,,,,,,,,,,,
723,763,794,822,854,871,891,905,921,933,947,953,958,968,976,978,982,989,996,1000,,,,,,,,,,,
722,761,793,820,847,869,886,906,920,937,949,957,967,975,982,985,988,992,995,997,,,,,,,,,,,
723,762,793,825,848,868,886,901,918,929,940,949,958,968,976,983,991,997,1001,1004,,,,,,,,,,,
723,763,795,822,854,871,893,907,923,935,948,954,962,971,977,981,986,988,989,995,,,,,,,,,,,
723,761,791,818,845,867,884,904,917,932,945,953,965,976,982,986,991,995,998,999,,,,,,,,,,,
723,762,793,825,849,870,888,904,920,931,943,952,960,966,972,979,986,992,997,1005,,,,,,,,,,,
724,762,793,821,852,871,890,907,924,936,950,957,965,974,979,984,987,990,994,994,,,,,,,,,,,
723,761,793,819,848,868,886,903,913,927,941,950,961,970,977,987,992,995,1000,1003,,,,,,,,,,,
723,763,793,827,849,871,893,906,922,933,945,955,962,969,975,981,983,986,992,998,,,,,,,,,,,
722,762,791,819,850,868,888,903,918,933,949,957,966,975,982,987,990,993,997,998,,,,,,,,,,,
723,763,798,821,849,869,887,905,916,930,943,949,957,966,974,981,987,995,1002,1004,,,,,,,,,,,
723,762,795,827,851,872,893,906,923,936,948,957,962,971,978,982,985,990,992,993,,,,,,,,,,,
723,761,793,817,851,866,883,900,915,930,945,952,962,974,983,988,992,996,1000,1001,,,,,,,,,,,
723,763,799,822,850,871,888,907,917,933,943,953,960,968,973,977,984,990,995,1001,,,,,,,,,,,
723,762,793,824,848,870,891,906,924,936,948,957,965,975,981,985,989,993,994,997,,,,,,,,,,,
723,763,792,820,851,868,886,902,918,929,940,948,958,969,977,984,993,997,1000,1004,,,,,,,,,,,
723,762,799,822,851,871,891,909,921,935,946,956,964,971,975,980,986,987,992,996,,,,,,,,,,,
722,762,791,817,846,867,888,903,919,933,946,956,965,975,981,988,991,995,997,1000,,,,,,,,,,,
722,758,793,821,849,870,888,906,917,929,944,951,958,965,973,980,987,991,999,1006,,,,,,,,,,,
723,762,798,821,850,872,891,907,921,936,949,959,966,972,978,983,987,989,994,994,,,,,,,,,,,
722,761,793,820,847,869,888,900,915,929,943,954,960,971,981,989,992,997,1001,1003,,,,,,,,,,,
723,758,794,822,851,871,890,907,919,933,947,953,961,968,976,980,982,987,995,999,,,,,,,,,,,
722,761,792,819,848,868,888,904,919,935,949,958,967,975,981,986,990,993,997,997,,,,,,,,,,,
722,763,793,820,849,869,889,902,918,930,942,950,956,965,976,983,989,997,1001,1005,,,,,,,,,,,
722,764,795,823,850,872,890,909,921,936,950,955,964,971,978,981,985,991,991,994,,,,,,,,,,,
722,760,792,819,845,865,886,901,916,932,943,954,964,975,981,987,993,996,999,1000,,,,,,,,,,,
723,763,794,821,850,870,891,904,921,932,944,952,959,966,972,978,985,991,997,1002,,,,,,,,,,,
723,762,793,820,848,870,890,910,923,936,950,956,966,974,981,984,988,991,993,997,,,,,,,,,,,
723,762,792,819,847,868,886,902,916,928,940,950,960,970,977,986,993,996,1000,1004,,,,,,,,,,,
723,763,794,823,851,872,893,906,923,934,947,955,962,970,975,981,985,986,992,998,,,,,,,,,,,
722,761,792,818,847,865,887,905,918,933,946,957,968,974,982,987,991,993,996,1000,,,,,,,,,,,
723,762,793,822,848,870,888,903,917,930,943,952,958,964,973,981,988,993,1001,1005,,,,,,,,,,,
722,762,794,821,855,873,894,907,923,936,950,957,963,972,979,984,985,989,993,993,,,,,,,,,,,
723,761,792,819,847,868,884,901,914,929,943,951,962,971,982,988,990,996,999,1002,,,,,,,,,,,
723,763,794,827,850,871,889,905,921,933,945,953,959,968,975,978,983,989,995,1000,,,,,,,,,,,
723,762,792,820,851,869,891,904,922,937,951,956,965,975,981,986,989,993,995,996,,,,,,,,,,,
722,762,793,820,848,868,887,904,916,928,940,947,958,968,976,983,990,998,1001,1004,,,,,,,,,,,
722,762,796,827,850,871,891,907,924,935,947,956,963,971,977,981,986,989,990,995,,,,,,,,,,,
724,760,791,818,849,867,885,902,920,932,946,954,965,976,982,986,992,995,998,999,,,,,,,,,,,
723,762,795,821,849,870,887,906,918,931,943,951,960,966,971,978,986,991,997,1004,,,,,,,,,,,
722,762,793,825,849,872,894,907,924,936,949,959,966,974,979,984,988,990,994,994,,,,,,,,,,,
723,762,792,819,851,868,887,901,913,926,942,950,960,971,979,988,993,995,1000,1003,,,,,,,,,,,
723,763,799,823,850,872,889,908,920,933,945,954,962,969,975,980,982,987,993,999,,,,,,,,,,,
723,760,791,823,846,869,890,904,921,933,949,959,965,976,982,987,990,993,998,998,,,,,,,,,,,
723,762,793,821,852,870,887,902,916,931,944,949,956,966,975,982,988,994,1001,1004,,,,,,,,,,,
723,762,800,822,851,872,890,908,921,936,948,957,964,972,977,982,986,989,992,994,,,,,,,,,,,
723,762,793,821,847,866,886,901,916,930,944,954,961,973,983,987,992,996,999,1001,,,,,,,,,,,
723,762,794,822,854,871,889,905,918,932,946,951,958,968,974,977,984,991,995,1000,,,,,,,,,,,
722,761,797,820,848,869,888,908,922,937,948,958,966,974,980,984,988,992,995,996,,,,,,,,,,,
723,762,792,819,847,868,889,902,919,929,941,950,958,969,978,984,992,997,1002,1004,,,,,,,,,,,
723,758,795,822,850,871,891,909,920,934,948,954,963,970,976,981,986,986,991,998,,,,,,,,,,,
723,760,795,818,846,867,886,903,917,932,945,958,967,975,980,986,992,995,997,1000,,,,,,,,,,,
723,762,793,821,849,870,891,904,919,930,943,952,958,964,972,980,987,992,999,1005,,,,,,,,,,,
722,757,793,821,850,873,891,910,921,937,951,956,965,973,979,984,987,989,994,993,,,,,,,,,,,
723,762,793,819,847,868,885,899,914,928,942,952,962,970,980,988,992,996,1001,1003,,,,,,,,,,,
722,763,794,822,850,871,893,905,921,933,947,954,960,967,976,980,981,988,994,1000,,,,,,,,,,,
723,761,792,819,847,868,888,906,919,934,950,957,966,975,982,987,989,993,996,997,,,,,,,,,,,
723,762,794,820,849,868,886,902,916,930,940,948,957,967,975,983,989,996,1001,1005,,,,,,,,,,,
723,763,795,823,851,872,893,906,924,935,949,956,962,971,978,981,985,991,990,994,,,,,,,,,,,
722,759,793,818,845,865,885,903,916,931,946,953,964,975,982,986,992,996,998,1000,,,,,,,,,,,
723,762,794,822,849,870,888,904,919,933,943,952,960,965,972,978,985,991,996,1003,,,,,,,,,,,
722,762,793,821,849,870,893,907,924,936,950,959,964,974,980,985,989,991,993,997,,,,,,,,,,,
723,761,792,820,847,865,886,905,915,928,940,949,961,970,978,984,993,996,999,1004,,,,,,,,,,,
723,763,794,824,850,872,891,906,921,933,946,954,962,970,974,981,985,986,992,998,,,,,,,,,,,
722,761,792,819,849,868,890,903,921,933,949,959,966,975,982,987,991,994,997,999,,,,,,,,,,,
723,762,793,821,849,870,887,905,916,930,943,951,957,964,974,981,987,992,1001,1004,,,,,,,,,,,
